feature loss: 29.377113342285156, feature weight: 0.01
output loss: 0.22627711296081543, output weight: 1.0
task loss: 0.2605469524860382, task weight: 1.0
feature loss: 29.385080337524414, feature weight: 0.01
output loss: 0.2232515811920166, output weight: 1.0
task loss: 0.17432647943496704, task weight: 1.0
feature loss: 29.37135124206543, feature weight: 0.01
output loss: 0.21556586027145386, output weight: 1.0
task loss: 0.4005541205406189, task weight: 1.0
feature loss: 29.36294937133789, feature weight: 0.01
output loss: 0.22328464686870575, output weight: 1.0
task loss: 0.26727256178855896, task weight: 1.0
feature loss: 29.358007431030273, feature weight: 0.01
output loss: 0.23203442990779877, output weight: 1.0
task loss: 0.24278996884822845, task weight: 1.0
feature loss: 29.36580467224121, feature weight: 0.01
output loss: 0.20727753639221191, output weight: 1.0
task loss: 0.6323210000991821, task weight: 1.0
feature loss: 29.35960578918457, feature weight: 0.01
output loss: 0.2773439884185791, output weight: 1.0
task loss: 0.5241132378578186, task weight: 1.0
feature loss: 29.357210159301758, feature weight: 0.01
output loss: 0.24376843869686127, output weight: 1.0
task loss: 0.43035638332366943, task weight: 1.0
feature loss: 29.34729766845703, feature weight: 0.01
output loss: 0.1964455246925354, output weight: 1.0
task loss: 0.24283750355243683, task weight: 1.0
feature loss: 29.34754753112793, feature weight: 0.01
output loss: 0.24782457947731018, output weight: 1.0
task loss: 0.15824636816978455, task weight: 1.0
feature loss: 29.322988510131836, feature weight: 0.01
output loss: 0.24779894948005676, output weight: 1.0
task loss: 0.22376401722431183, task weight: 1.0
feature loss: 29.328269958496094, feature weight: 0.01
output loss: 0.19839917123317719, output weight: 1.0
task loss: 0.2014513462781906, task weight: 1.0
feature loss: 29.336956024169922, feature weight: 0.01
output loss: 0.20155975222587585, output weight: 1.0
task loss: 0.33082669973373413, task weight: 1.0
feature loss: 29.32107925415039, feature weight: 0.01
output loss: 0.21385414898395538, output weight: 1.0
task loss: 0.3549853563308716, task weight: 1.0
feature loss: 29.308752059936523, feature weight: 0.01
output loss: 0.21162457764148712, output weight: 1.0
task loss: 0.2747619152069092, task weight: 1.0
feature loss: 29.32029151916504, feature weight: 0.01
output loss: 0.20989564061164856, output weight: 1.0
task loss: 0.3905860185623169, task weight: 1.0
feature loss: 29.300334930419922, feature weight: 0.01
output loss: 0.187679260969162, output weight: 1.0
task loss: 0.35865214467048645, task weight: 1.0
feature loss: 29.297382354736328, feature weight: 0.01
output loss: 0.20983080565929413, output weight: 1.0
task loss: 0.24380214512348175, task weight: 1.0
feature loss: 29.29033088684082, feature weight: 0.01
output loss: 0.1879221796989441, output weight: 1.0
task loss: 0.2946208715438843, task weight: 1.0
feature loss: 29.28977394104004, feature weight: 0.01
output loss: 0.19150863587856293, output weight: 1.0
task loss: 0.38448864221572876, task weight: 1.0
feature loss: 29.293704986572266, feature weight: 0.01
output loss: 0.1963139772415161, output weight: 1.0
task loss: 0.2355871945619583, task weight: 1.0
feature loss: 29.288082122802734, feature weight: 0.01
output loss: 0.20089979469776154, output weight: 1.0
task loss: 0.36238279938697815, task weight: 1.0
	iters: 100, epoch: 1 | loss: 0.8561634
feature loss: 29.27545928955078, feature weight: 0.01
output loss: 0.20169268548488617, output weight: 1.0
task loss: 0.21970123052597046, task weight: 1.0
feature loss: 29.269636154174805, feature weight: 0.01
output loss: 0.20433354377746582, output weight: 1.0
task loss: 0.4298892319202423, task weight: 1.0
feature loss: 29.26512336730957, feature weight: 0.01
output loss: 0.21164436638355255, output weight: 1.0
task loss: 0.34420308470726013, task weight: 1.0
feature loss: 29.2580623626709, feature weight: 0.01
output loss: 0.19372254610061646, output weight: 1.0
task loss: 0.27883481979370117, task weight: 1.0
feature loss: 29.254846572875977, feature weight: 0.01
output loss: 0.19126702845096588, output weight: 1.0
task loss: 0.23996396362781525, task weight: 1.0
feature loss: 29.253171920776367, feature weight: 0.01
output loss: 0.16838626563549042, output weight: 1.0
task loss: 0.3166326880455017, task weight: 1.0
feature loss: 29.24738883972168, feature weight: 0.01
output loss: 0.1978038102388382, output weight: 1.0
task loss: 0.421657919883728, task weight: 1.0
feature loss: 29.23375129699707, feature weight: 0.01
output loss: 0.18879449367523193, output weight: 1.0
task loss: 0.3029525876045227, task weight: 1.0
feature loss: 29.235240936279297, feature weight: 0.01
